id,idade,ocupacao,estado_civil,escolaridade,inadimplencia,saldo_medio,deposito_prazo,emprestimo_habitacional,emprestimo_pessoal,meio_contato,dia_contato,mes_contato,duracao_contato,quantidade_contato,quantidade_dias_contato,quantidade_contato,resultado
1,59,administracao,casado,medio,nao,2343,sim,sim,nao,desconhecido,5,maio,17,1,-1,0,desconhecido
2,56,administracao,casado,medio,nao,45,sim,nao,nao,desconhecido,5,maio,24,1,-1,0,desconhecido
3,41,tecnico,casado,medio,nao,1270,sim,sim,nao,desconhecido,5,maio,23,1,-1,0,desconhecido
4,55,servicos,casado,medio,nao,2476,sim,sim,nao,desconhecido,5,maio,10,1,-1,0,desconhecido
5,54,administracao,casado,superior,nao,184,sim,nao,nao,desconhecido,5,maio,11,2,-1,0,desconhecido
6,42,gestao,solteiro,superior,nao,0,sim,sim,sim,desconhecido,5,maio,9,2,-1,0,desconhecido
7,56,gestao,casado,superior,nao,830,sim,sim,sim,desconhecido,6,maio,20,1,-1,0,desconhecido
8,60,operario,divorciado,medio,nao,545,sim,sim,nao,desconhecido,6,maio,17,1,-1,0,desconhecido
9,37,tecnico,casado,medio,nao,1,sim,sim,nao,desconhecido,6,maio,10,1,-1,0,desconhecido
10,28,servicos,solteiro,medio,nao,5090,sim,sim,nao,desconhecido,6,maio,22,3,-1,0,desconhecido
11,38,administracao,solteiro,medio,nao,100,sim,sim,nao,desconhecido,7,maio,13,1,-1,0,desconhecido
12,30,operario,casado,medio,nao,309,sim,sim,nao,desconhecido,7,maio,26,2,-1,0,desconhecido
13,29,gestao,casado,superior,nao,199,sim,sim,sim,desconhecido,7,maio,28,4,-1,0,desconhecido
14,46,operario,solteiro,superior,nao,460,sim,sim,nao,desconhecido,7,maio,18,2,-1,0,desconhecido
15,31,tecnico,solteiro,superior,nao,703,sim,sim,nao,desconhecido,8,maio,16,2,-1,0,desconhecido
16,35,gestao,divorciado,superior,nao,3837,sim,sim,nao,desconhecido,8,maio,18,1,-1,0,desconhecido
17,32,operario,solteiro,fundamental,nao,611,sim,sim,nao,desconhecido,8,maio,9,3,-1,0,desconhecido
18,49,servicos,casado,medio,nao,-8,sim,sim,nao,desconhecido,8,maio,19,1,-1,0,desconhecido
19,41,administracao,casado,medio,nao,55,sim,sim,nao,desconhecido,8,maio,19,2,-1,0,desconhecido
20,49,administracao,divorciado,medio,nao,168,sim,sim,sim,desconhecido,8,maio,9,1,-1,0,desconhecido
21,28,administracao,divorciado,medio,nao,785,sim,sim,nao,desconhecido,8,maio,7,2,-1,0,desconhecido
22,43,gestao,solteiro,superior,nao,2067,sim,sim,nao,desconhecido,8,maio,13,1,-1,0,desconhecido
23,43,gestao,divorciado,superior,nao,388,sim,sim,nao,desconhecido,8,maio,35,2,-1,0,desconhecido
24,43,operario,casado,fundamental,nao,-192,sim,sim,nao,desconhecido,8,maio,19,2,-1,0,desconhecido
25,37,operario,solteiro,medio,nao,381,sim,sim,nao,desconhecido,8,maio,16,2,-1,0,desconhecido
26,35,operario,solteiro,medio,nao,40,sim,sim,nao,desconhecido,9,maio,10,4,-1,0,desconhecido
27,31,tecnico,solteiro,superior,nao,22,sim,sim,nao,desconhecido,9,maio,8,3,-1,0,desconhecido
28,43,operario,solteiro,medio,nao,3,sim,sim,nao,desconhecido,9,maio,15,3,-1,0,desconhecido
29,31,administracao,casado,medio,nao,307,sim,sim,nao,desconhecido,9,maio,9,1,-1,0,desconhecido
30,28,operario,solteiro,medio,nao,759,sim,sim,nao,desconhecido,9,maio,12,1,-1,0,desconhecido
31,32,operario,casado,medio,sim,-1,sim,sim,nao,desconhecido,9,maio,11,1,-1,0,desconhecido
32,60,tecnico,casado,fundamental,nao,65,sim,sim,nao,desconhecido,9,maio,17,2,-1,0,desconhecido
33,26,operario,solteiro,medio,nao,82,sim,sim,nao,desconhecido,9,maio,11,1,-1,0,desconhecido
34,40,operario,casado,medio,nao,10,sim,sim,nao,desconhecido,9,maio,28,2,-1,0,desconhecido
35,33,operario,divorciado,fundamental,nao,390,sim,sim,nao,desconhecido,9,maio,11,2,-1,0,desconhecido
36,32,gestao,solteiro,superior,nao,311,sim,nao,nao,desconhecido,12,maio,13,2,-1,0,desconhecido
37,35,operario,casado,fundamental,nao,414,sim,nao,nao,desconhecido,13,maio,8,4,-1,0,desconhecido
38,33,gestao,divorciado,medio,nao,5,sim,sim,nao,desconhecido,13,maio,22,1,-1,0,desconhecido
39,38,gestao,casado,superior,nao,119,sim,sim,nao,desconhecido,13,maio,9,4,-1,0,desconhecido
40,23,operario,solteiro,fundamental,nao,4,sim,sim,nao,desconhecido,13,maio,7,2,-1,0,desconhecido
41,60,operario,casado,fundamental,nao,1262,sim,sim,sim,desconhecido,13,maio,17,1,-1,0,desconhecido
42,48,gestao,casado,superior,nao,1949,sim,sim,nao,desconhecido,13,maio,11,2,-1,0,desconhecido
43,45,operario,divorciado,superior,nao,-395,sim,sim,nao,desconhecido,13,maio,8,1,-1,0,desconhecido
44,36,operario,casado,medio,nao,1165,sim,sim,nao,desconhecido,13,maio,17,4,-1,0,desconhecido
45,52,gestao,casado,superior,nao,2240,sim,sim,nao,desconhecido,13,maio,14,1,-1,0,desconhecido
46,35,operario,divorciado,fundamental,nao,300,sim,sim,nao,desconhecido,13,maio,16,2,-1,0,desconhecido
47,43,tecnico,casado,medio,nao,3285,sim,sim,nao,desconhecido,13,maio,29,2,-1,0,desconhecido
48,52,operario,casado,medio,nao,3923,sim,sim,nao,desconhecido,14,maio,16,3,-1,0,desconhecido
49,53,tecnico,divorciado,fundamental,nao,1443,sim,sim,nao,desconhecido,14,maio,8,1,-1,0,desconhecido
50,48,operario,divorciado,fundamental,nao,24,sim,sim,nao,desconhecido,14,maio,14,1,-1,0,desconhecido
51,41,operario,solteiro,fundamental,nao,1618,sim,sim,nao,desconhecido,14,maio,26,1,-1,0,desconhecido
52,39,gestao,divorciado,superior,nao,517,sim,sim,sim,desconhecido,14,maio,22,1,-1,0,desconhecido
53,59,operario,casado,medio,nao,1521,sim,sim,sim,desconhecido,14,maio,19,2,-1,0,desconhecido
54,41,operario,casado,medio,nao,2823,sim,sim,nao,desconhecido,14,maio,14,1,-1,0,desconhecido
55,48,operario,casado,medio,nao,1405,sim,sim,nao,desconhecido,14,maio,10,2,-1,0,desconhecido
56,40,administracao,casado,medio,nao,1535,sim,sim,nao,desconhecido,14,maio,12,1,-1,0,desconhecido
57,48,operario,casado,medio,nao,1596,sim,sim,nao,desconhecido,14,maio,13,1,-1,0,desconhecido
58,60,operario,casado,fundamental,nao,1542,sim,sim,nao,desconhecido,14,maio,16,1,-1,0,desconhecido
59,40,tecnico,solteiro,superior,nao,3652,sim,sim,nao,desconhecido,14,maio,17,2,-1,0,desconhecido
60,57,tecnico,casado,superior,nao,-1,sim,nao,nao,desconhecido,14,maio,14,2,-1,0,desconhecido
61,51,operario,casado,medio,nao,7180,sim,sim,nao,desconhecido,14,maio,15,1,-1,0,desconhecido
62,41,operario,divorciado,medio,nao,5291,sim,sim,nao,desconhecido,14,maio,24,3,-1,0,desconhecido
63,41,operario,casado,medio,nao,1384,sim,sim,nao,desconhecido,15,maio,19,4,-1,0,desconhecido
64,52,operario,divorciado,fundamental,nao,-191,sim,sim,nao,desconhecido,15,maio,13,1,-1,0,desconhecido
65,59,operario,casado,fundamental,nao,320,sim,sim,nao,desconhecido,15,maio,12,1,-1,0,desconhecido
66,44,operario,casado,superior,nao,146,sim,sim,nao,desconhecido,15,maio,8,1,-1,0,desconhecido
67,49,operario,casado,fundamental,nao,341,sim,sim,sim,desconhecido,15,maio,9,2,-1,0,desconhecido
68,40,servicos,casado,fundamental,nao,-9,sim,sim,nao,desconhecido,15,maio,15,2,-1,0,desconhecido
69,41,administracao,casado,fundamental,nao,-306,sim,sim,nao,desconhecido,15,maio,8,1,-1,0,desconhecido
70,44,tecnico,casado,superior,nao,4580,sim,sim,nao,desconhecido,15,maio,15,2,-1,0,desconhecido
71,60,servicos,solteiro,fundamental,nao,313,sim,sim,nao,desconhecido,15,maio,15,2,-1,0,desconhecido
72,29,gestao,casado,superior,nao,10576,sim,nao,nao,desconhecido,15,maio,20,2,-1,0,desconhecido
