id,idade,ocupacao,estado_civil,escolaridade,inadimplencia,deposito_prazo,saldo_medio,emprestimo_habitacional,emprestimo_pessoal,meio_contato,dia_contato,mes_contato,duracao_contato,quantidade_contato_atual,quantidade_dias_contato,quantidade_contato_anterior,resultado
1,59,administracao,casado,medio,nao,sim,2343,sim,nao,desconhecido,5,maio,17,1,-1,0,desconhecido
2,56,administracao,casado,medio,nao,sim,45,nao,nao,desconhecido,5,maio,24,1,-1,0,desconhecido
3,41,tecnico,casado,medio,nao,sim,1270,sim,nao,desconhecido,5,maio,23,1,-1,0,desconhecido
4,55,servicos,casado,medio,nao,sim,2476,sim,nao,desconhecido,5,maio,10,1,-1,0,desconhecido
5,54,administracao,casado,superior,nao,sim,184,nao,nao,desconhecido,5,maio,11,2,-1,0,desconhecido
6,42,gestao,solteiro,superior,nao,sim,0,sim,sim,desconhecido,5,maio,9,2,-1,0,desconhecido
7,56,gestao,casado,superior,nao,sim,830,sim,sim,desconhecido,6,maio,20,1,-1,0,desconhecido
8,60,operario,divorciado,medio,nao,sim,545,sim,nao,desconhecido,6,maio,17,1,-1,0,desconhecido
9,37,tecnico,casado,medio,nao,sim,1,sim,nao,desconhecido,6,maio,10,1,-1,0,desconhecido
10,28,servicos,solteiro,medio,nao,sim,5090,sim,nao,desconhecido,6,maio,22,3,-1,0,desconhecido
11,38,administracao,solteiro,medio,nao,sim,100,sim,nao,desconhecido,7,maio,13,1,-1,0,desconhecido
12,30,operario,casado,medio,nao,sim,309,sim,nao,desconhecido,7,maio,26,2,-1,0,desconhecido
13,29,gestao,casado,superior,nao,sim,199,sim,sim,desconhecido,7,maio,28,4,-1,0,desconhecido
14,46,operario,solteiro,superior,nao,sim,460,sim,nao,desconhecido,7,maio,18,2,-1,0,desconhecido
15,31,tecnico,solteiro,superior,nao,sim,703,sim,nao,desconhecido,8,maio,16,2,-1,0,desconhecido
16,35,gestao,divorciado,superior,nao,sim,3837,sim,nao,desconhecido,8,maio,18,1,-1,0,desconhecido
17,32,operario,solteiro,fundamental,nao,sim,611,sim,nao,desconhecido,8,maio,9,3,-1,0,desconhecido
18,49,servicos,casado,medio,nao,sim,-8,sim,nao,desconhecido,8,maio,19,1,-1,0,desconhecido
19,41,administracao,casado,medio,nao,sim,55,sim,nao,desconhecido,8,maio,19,2,-1,0,desconhecido
20,49,administracao,divorciado,medio,nao,sim,168,sim,sim,desconhecido,8,maio,9,1,-1,0,desconhecido
21,28,administracao,divorciado,medio,nao,sim,785,sim,nao,desconhecido,8,maio,7,2,-1,0,desconhecido
22,43,gestao,solteiro,superior,nao,sim,2067,sim,nao,desconhecido,8,maio,13,1,-1,0,desconhecido
23,43,gestao,divorciado,superior,nao,sim,388,sim,nao,desconhecido,8,maio,35,2,-1,0,desconhecido
24,43,operario,casado,fundamental,nao,sim,-192,sim,nao,desconhecido,8,maio,19,2,-1,0,desconhecido
25,37,operario,solteiro,medio,nao,sim,381,sim,nao,desconhecido,8,maio,16,2,-1,0,desconhecido
26,35,operario,solteiro,medio,nao,sim,40,sim,nao,desconhecido,9,maio,10,4,-1,0,desconhecido
27,31,tecnico,solteiro,superior,nao,sim,22,sim,nao,desconhecido,9,maio,8,3,-1,0,desconhecido
28,43,operario,solteiro,medio,nao,sim,3,sim,nao,desconhecido,9,maio,15,3,-1,0,desconhecido
29,31,administracao,casado,medio,nao,sim,307,sim,nao,desconhecido,9,maio,9,1,-1,0,desconhecido
30,28,operario,solteiro,medio,nao,sim,759,sim,nao,desconhecido,9,maio,12,1,-1,0,desconhecido
31,32,operario,casado,medio,sim,sim,-1,sim,nao,desconhecido,9,maio,11,1,-1,0,desconhecido
32,60,tecnico,casado,fundamental,nao,sim,65,sim,nao,desconhecido,9,maio,17,2,-1,0,desconhecido
33,26,operario,solteiro,medio,nao,sim,82,sim,nao,desconhecido,9,maio,11,1,-1,0,desconhecido
34,40,operario,casado,medio,nao,sim,10,sim,nao,desconhecido,9,maio,28,2,-1,0,desconhecido
35,33,operario,divorciado,fundamental,nao,sim,390,sim,nao,desconhecido,9,maio,11,2,-1,0,desconhecido
36,32,gestao,solteiro,superior,nao,sim,311,nao,nao,desconhecido,12,maio,13,2,-1,0,desconhecido
37,35,operario,casado,fundamental,nao,sim,414,nao,nao,desconhecido,13,maio,8,4,-1,0,desconhecido
38,33,gestao,divorciado,medio,nao,sim,5,sim,nao,desconhecido,13,maio,22,1,-1,0,desconhecido
39,38,gestao,casado,superior,nao,sim,119,sim,nao,desconhecido,13,maio,9,4,-1,0,desconhecido
40,23,operario,solteiro,fundamental,nao,sim,4,sim,nao,desconhecido,13,maio,7,2,-1,0,desconhecido
41,60,operario,casado,fundamental,nao,sim,1262,sim,sim,desconhecido,13,maio,17,1,-1,0,desconhecido
42,48,gestao,casado,superior,nao,sim,1949,sim,nao,desconhecido,13,maio,11,2,-1,0,desconhecido
43,45,operario,divorciado,superior,nao,sim,-395,sim,nao,desconhecido,13,maio,8,1,-1,0,desconhecido
44,36,operario,casado,medio,nao,sim,1165,sim,nao,desconhecido,13,maio,17,4,-1,0,desconhecido
45,52,gestao,casado,superior,nao,sim,2240,sim,nao,desconhecido,13,maio,14,1,-1,0,desconhecido
46,35,operario,divorciado,fundamental,nao,sim,300,sim,nao,desconhecido,13,maio,16,2,-1,0,desconhecido
47,43,tecnico,casado,medio,nao,sim,3285,sim,nao,desconhecido,13,maio,29,2,-1,0,desconhecido
48,52,operario,casado,medio,nao,sim,3923,sim,nao,desconhecido,14,maio,16,3,-1,0,desconhecido
49,53,tecnico,divorciado,fundamental,nao,sim,1443,sim,nao,desconhecido,14,maio,8,1,-1,0,desconhecido
50,48,operario,divorciado,fundamental,nao,sim,24,sim,nao,desconhecido,14,maio,14,1,-1,0,desconhecido
51,41,operario,solteiro,fundamental,nao,sim,1618,sim,nao,desconhecido,14,maio,26,1,-1,0,desconhecido
52,39,gestao,divorciado,superior,nao,sim,517,sim,sim,desconhecido,14,maio,22,1,-1,0,desconhecido
53,59,operario,casado,medio,nao,sim,1521,sim,sim,desconhecido,14,maio,19,2,-1,0,desconhecido
54,41,operario,casado,medio,nao,sim,2823,sim,nao,desconhecido,14,maio,14,1,-1,0,desconhecido
55,48,operario,casado,medio,nao,sim,1405,sim,nao,desconhecido,14,maio,10,2,-1,0,desconhecido
56,40,administracao,casado,medio,nao,sim,1535,sim,nao,desconhecido,14,maio,12,1,-1,0,desconhecido
57,48,operario,casado,medio,nao,sim,1596,sim,nao,desconhecido,14,maio,13,1,-1,0,desconhecido
